Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,aapl,msft,goog,aapl,msft,goog,aapl,msft,goog,aapl,msft,goog,aapl,msft,goog,aapl,msft,goog
Date,,,,,,,,,,,,,,,,,,
2017-08-16,38.188018798828125,69.35209655761719,46.347999572753906,40.23749923706055,73.6500015258789,46.347999572753906,40.627498626708984,74.0999984741211,46.6349983215332,40.037498474121094,73.16999816894531,46.17224884033203,40.48500061035156,73.33999633789062,46.26449966430664,110686400.0,18150400.0,20134000.0
2017-08-17,37.454856872558594,68.17504119873047,45.54899978637695,39.46500015258789,72.4000015258789,45.54899978637695,40.1775016784668,73.87000274658203,46.34299850463867,39.459999084472656,72.4000015258789,45.54899978637695,40.130001068115234,73.58000183105469,46.28900146484375,111762400.0,22977500.0,25544000.0
2017-08-18,37.36945343017578,68.25980377197266,45.53350067138672,39.375,72.48999786376953,45.53350067138672,39.875,72.83999633789062,45.76374816894531,39.18000030517578,71.93000030517578,45.35770034790039,39.46500015258789,72.2699966430664,45.515499114990234,109712400.0,18761500.0,26854000.0
2017-08-21,37.30064392089844,67.93962860107422,45.33300018310547,39.3025016784668,72.1500015258789,45.33300018310547,39.47249984741211,72.4800033569336,45.650001525878906,38.77750015258789,71.69999694824219,45.16999816894531,39.375,72.47000122070312,45.5,105474000.0,17734800.0,18868000.0
2017-08-22,37.91041946411133,68.89068603515625,46.234500885009766,39.94499969482422,73.16000366210938,46.234500885009766,40.0,73.23999786376953,46.292999267578125,39.505001068115234,72.3499984741211,45.57374954223633,39.557498931884766,72.3499984741211,45.63600158691406,86418400.0,14343700.0,23334000.0
2017-08-23,37.95786666870117,68.47637176513672,46.349998474121094,39.994998931884766,72.72000122070312,46.349998474121094,40.11750030517578,73.1500015258789,46.496498107910156,39.720001220703125,72.52999877929688,45.96799850463867,39.76750183105469,72.95999908447266,46.096500396728516,77596400.0,13766500.0,21804000.0
2017-08-24,37.78940200805664,68.44812774658203,46.06399917602539,39.817501068115234,72.69000244140625,46.06399917602539,40.185001373291016,72.86000061035156,46.54199981689453,39.63750076293945,72.06999969482422,45.775001525878906,40.10749816894531,72.73999786376953,46.43299865722656,79275600.0,17098300.0,25406000.0
2017-08-25,37.92939758300781,68.5705337524414,45.794498443603516,39.96500015258789,72.81999969482422,45.794498443603516,40.13999938964844,73.3499984741211,46.277748107910156,39.817501068115234,72.4800033569336,45.775001525878906,39.912498474121094,72.86000061035156,46.17449951171875,101920400.0,12794300.0,21068000.0
2017-08-28,38.3113899230957,68.57994842529297,45.69049835205078,40.36750030517578,72.83000183105469,45.69049835205078,40.5,73.08999633789062,45.962249755859375,39.98249816894531,72.55000305175781,45.59349822998047,40.03499984741211,73.05999755859375,45.79999923706055,103864000.0,14569700.0,21730000.0
2017-08-29,38.65305709838867,68.78711700439453,46.06449890136719,40.727500915527344,73.05000305175781,46.06449890136719,40.779998779296875,73.16000366210938,46.166500091552734,40.0,72.05000305175781,45.25,40.025001525878906,72.25,45.255001068115234,118067600.0,11478400.0,23712000.0
2017-08-30,38.7574577331543,69.69108581542969,46.47850036621094,40.837501525878906,74.01000213623047,46.47850036621094,40.97249984741211,74.20999908447266,46.540950775146484,40.65250015258789,72.83000183105469,45.98249816894531,40.95000076293945,73.01000213623047,46.002498626708984,109078400.0,16897800.0,26024000.0
2017-08-31,38.91168212890625,70.40673828125,46.96649932861328,41.0,74.7699966430664,46.96649932861328,41.130001068115234,74.95999908447266,47.0989990234375,40.869998931884766,73.80000305175781,46.5880012512207,40.90999984741211,74.02999877929688,46.5880012512207,107140400.0,27652800.0,31652000.0
